begin_abs_pm,end_abs_pm,end_time,freeway,start_time
365.277,377.456,2017/4/28 5:01,US101-N,2017/4/27 19:01
4.236,6.326,2017/5/2 4:59,I280-N,2017/5/1 19:01
4.236,6.326,2017/5/3 4:59,I280-N,2017/5/2 19:01
389.733,390.338,2017/5/4 4:59,US101-N,2017/5/3 22:01
1.186,1.992,2017/4/20 5:01,I280-N,2017/4/19 21:01
0.338,0.881,2017/5/5 5:59,I880-N,2017/5/4 19:01
0.338,0.881,2017/5/6 10:59,I880-N,2017/5/5 19:01
5.124,4.374,2017/4/17 15:01,I880-S,2017/4/17 9:01
5.124,4.374,2017/4/18 15:01,I880-S,2017/4/18 9:01
5.124,4.374,2017/4/19 15:01,I880-S,2017/4/19 9:01
5.124,4.374,2017/4/20 15:01,I880-S,2017/4/20 9:01
5.124,4.374,2017/4/21 15:01,I880-S,2017/4/21 9:01
1.329,0,2017/5/2 4:59,SR87-S,2017/5/1 21:01
1.329,0,2017/5/3 4:59,SR87-S,2017/5/2 21:01
1.329,0,2017/5/3 4:59,SR87-S,2017/5/3 1:01
1.329,0,2017/5/4 4:59,SR87-S,2017/5/3 21:01
1.329,0,2017/5/4 4:59,SR87-S,2017/5/4 1:01
1.329,0,2017/5/5 4:59,SR87-S,2017/5/4 21:01
1.329,0,2017/5/5 4:59,SR87-S,2017/5/5 1:01
1.329,0,2017/5/6 7:59,SR87-S,2017/5/5 21:01
1.329,0,2017/5/6 5:59,SR87-S,2017/5/6 3:01
3.993,4.499,2017/4/20 4:59,I280-N,2017/4/19 19:01
377.492,365.313,2017/4/28 5:01,US101-S,2017/4/27 20:01
1.294,0.064,2017/5/5 4:59,I280-S,2017/5/4 20:01
1.294,0.064,2017/5/6 7:59,I280-S,2017/5/5 20:01
1.186,0.366,2017/4/21 6:01,I280-S,2017/4/20 22:01
385.313,384.215,2017/5/4 4:59,US101-S,2017/5/3 23:01
385.313,384.215,2017/5/5 4:59,US101-S,2017/5/4 23:01
395.793,396.47,2017/4/18 4:01,US101-N,2017/4/17 22:01
8.109,8.773,2017/5/2 4:59,SR85-N,2017/5/1 19:01
8.109,8.773,2017/5/3 4:59,SR85-N,2017/5/2 19:01
8.109,8.773,2017/5/4 4:59,SR85-N,2017/5/3 19:01
387.937,388.426,2017/5/3 4:59,US101-N,2017/5/2 22:01
18.157,19.626,2017/5/3 5:01,SR17-N,2017/5/2 19:01
18.157,19.626,2017/5/4 5:01,SR17-N,2017/5/3 19:01
18.157,19.626,2017/5/5 5:01,SR17-N,2017/5/4 19:01
17.237,20.218,2017/5/5 5:01,SR17-N,2017/5/4 22:01
2.366,3.134,2017/4/17 15:01,I680-N,2017/4/17 9:01
2.366,3.134,2017/4/18 15:01,I680-N,2017/4/18 9:01
2.366,3.134,2017/4/19 15:01,I680-N,2017/4/19 9:01
2.366,3.134,2017/4/20 15:01,I680-N,2017/4/20 9:01
2.366,3.134,2017/4/21 15:01,I680-N,2017/4/21 9:01
392.949,393.487,2017/4/18 1:01,US101-N,2017/4/17 21:01
392.949,393.487,2017/5/2 1:01,US101-N,2017/5/1 21:01
390.374,389.769,2017/5/4 4:59,US101-S,2017/5/3 22:01
373.264,374.582,2017/5/4 4:59,US101-N,2017/5/3 19:01
373.264,374.582,2017/5/5 4:59,US101-N,2017/5/4 19:01
385.715,385.131,2017/5/3 4:59,US101-S,2017/5/2 23:01
385.715,385.131,2017/5/4 4:59,US101-S,2017/5/3 23:01
3.565,4.078,2017/4/17 15:01,I880-N,2017/4/17 9:01
3.565,4.078,2017/4/18 15:01,I880-N,2017/4/18 9:01
3.565,4.078,2017/4/19 15:01,I880-N,2017/4/19 9:01
3.565,4.078,2017/4/20 15:01,I880-N,2017/4/20 9:01
3.565,4.078,2017/4/21 15:01,I880-N,2017/4/21 9:01
0.079,0.723,2017/5/3 4:59,SR87-N,2017/5/2 19:01
0.079,0.723,2017/5/4 4:59,SR87-N,2017/5/3 19:01
388.462,387.973,2017/5/3 4:59,US101-S,2017/5/2 22:01
7.331,8.505,2017/4/18 4:59,I280-S,2017/4/17 22:01
7.331,8.505,2017/4/19 4:59,I280-S,2017/4/18 22:01
7.331,8.505,2017/4/20 4:59,I280-S,2017/4/19 22:01
7.331,8.505,2017/4/21 4:59,I280-S,2017/4/20 22:01
7.331,8.505,2017/4/22 8:59,I280-S,2017/4/21 22:01
7.331,8.505,2017/4/25 4:59,I280-S,2017/4/24 22:01
7.331,8.505,2017/4/26 4:59,I280-S,2017/4/25 22:01
7.331,8.505,2017/4/27 4:59,I280-S,2017/4/26 22:01
7.331,8.505,2017/4/28 4:59,I280-S,2017/4/27 22:01
7.331,8.505,2017/4/29 8:59,I280-S,2017/4/28 22:01
7.331,8.505,2017/5/2 4:59,I280-S,2017/5/1 22:01
7.331,8.505,2017/5/3 4:59,I280-S,2017/5/2 22:01
7.331,8.505,2017/5/4 4:59,I280-S,2017/5/3 22:01
7.331,8.505,2017/5/5 4:59,I280-S,2017/5/4 22:01
7.331,8.505,2017/5/6 8:59,I280-S,2017/5/5 22:01
22.757,24.604,2017/4/22 5:01,SR17-N,2017/4/21 23:01
2.075,0.408,2017/5/5 7:59,I880-S,2017/5/4 20:01
2.075,0.408,2017/5/6 10:59,I880-S,2017/5/5 20:01
3.93,3.48,2017/5/2 4:59,SR85-S,2017/5/1 20:01
3.93,3.48,2017/5/3 4:59,SR85-S,2017/5/2 20:01
3.93,3.48,2017/5/4 4:59,SR85-S,2017/5/3 20:01
